subj,trialtime,trial,seq,seq_item,active_item,prev_active,next_active,firstappear,looks_blank,looks_offscreen,time_till_target,looks_target,looks1,looks2,looks3,location1X,location1Y,location2X,location2Y,location3X,location3Y,item1id,item2id,item3id,date,event_time,eyeposX,eyeposY,timestamps
104,0.010624,10,26,1,3,-1,3,1,1,0,332.84,0,0,0,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,650.7,52.4,0
104,0.010624,10,26,1,3,-1,3,1,1,0,332.84,0,0,0,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,650.7,52.4,13.049
104,0.010624,10,26,1,3,-1,3,1,1,0,332.84,0,0,0,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,650.7,52.4,26.051
104,0.010624,10,26,1,3,-1,3,1,1,0,332.84,0,0,0,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,650.7,52.4,39.701
104,0.010624,10,26,1,3,-1,3,1,1,0,332.84,0,0,0,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,650.7,52.4,53.084
104,0.010624,10,26,1,3,-1,3,1,1,0,332.84,0,0,0,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,650.7,52.4,66.36
104,0.010624,10,26,1,3,-1,3,1,1,0,332.84,0,0,0,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,650.7,52.4,79.741
104,0.010624,10,26,1,3,-1,3,1,1,0,332.84,0,0,0,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,650.7,52.4,93.017
104,0.010624,10,26,1,3,-1,3,1,1,0,332.84,0,0,0,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,650.7,52.4,106.38
104,0.010624,10,26,1,3,-1,3,1,1,0,332.84,0,0,0,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,653.6,51.9,119.72
104,0.010624,10,26,1,3,-1,3,1,1,0,332.84,0,0,0,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,650.9,47.4,133
104,0.010624,10,26,1,3,-1,3,1,1,0,332.84,0,0,0,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,648.9,38.2,146.24
104,0.010624,10,26,1,3,-1,3,1,0,0,332.84,0,0,1,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,650.4,130.5,159.59
104,0.010624,10,26,1,3,-1,3,1,0,0,332.84,0,0,1,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,648,302,172.76
104,0.010624,10,26,1,3,-1,3,1,0,0,332.84,0,0,1,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,646.6,317.2,186.27
104,0.010624,10,26,1,3,-1,3,1,0,0,332.84,0,0,1,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,643.8,322.5,199.64
104,0.010624,10,26,1,3,-1,3,1,0,0,332.84,0,0,1,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,643.2,316.8,212.74
104,0.010624,10,26,1,3,-1,3,1,0,0,332.84,0,0,1,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,643.8,315.1,226.3
104,0.010624,10,26,1,3,-1,3,1,0,0,332.84,0,0,1,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,644,313.2,239.61
104,0.010624,10,26,1,3,-1,3,1,0,0,332.84,0,0,1,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,644.6,310.3,252.74
104,0.010624,10,26,1,3,-1,3,1,0,0,332.84,0,0,1,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,643.9,309.4,266.25
104,0.010624,10,26,1,3,-1,3,1,0,0,332.84,0,0,1,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,644,309.5,279.59
104,0.010624,10,26,1,3,-1,3,1,0,0,332.84,0,0,1,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,644.9,311.7,292.97
104,0.010624,10,26,1,3,-1,3,1,0,0,332.84,0,0,1,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,631.8,311.2,306.03
104,0.010624,10,26,1,3,-1,3,1,1,0,332.84,0,0,0,0,828.63,551.77,629.29,308.31,144.31,637.51,23,37,14,1.2083e+05,1479.9,412,392.9,319.56
